"date","sourceMedium","sessions"
2017-07-01,"google / organic",1
2017-07-03,"google / organic",6
2017-07-04,"google / organic",1
2017-07-05,"(direct) / (none)",2
2017-07-05,"earn-from-articles.com / referral",3
2017-07-05,"google / organic",6
2017-07-06,"(direct) / (none)",1
2017-07-06,"earn-from-articles.com / referral",2
2017-07-06,"google / organic",1
2017-07-07,"(direct) / (none)",1
2017-07-07,"google / organic",1
2017-07-09,"(direct) / (none)",2
2017-07-09,"google / organic",2
2017-07-10,"(direct) / (none)",1
2017-07-11,"(direct) / (none)",1
2017-07-11,"google / organic",1
2017-07-12,"google / organic",2
2017-07-13,"google / organic",3
2017-07-15,"google / organic",1
2017-07-16,"google / organic",5
2017-07-16,"sell-fb-group-here.com / referral",1
2017-07-17,"google / organic",5
2017-07-17,"sell-fb-group-here.com / referral",1
2017-07-18,"(direct) / (none)",2
2017-07-18,"google / organic",2
2017-07-18,"zapmeta.pe / referral",1
2017-07-19,"5-steps-to-start-business.com / referral",3
2017-07-19,"google / organic",3
2017-07-20,"(direct) / (none)",1
2017-07-20,"google / organic",1
2017-07-21,"ecosia.org / referral",1
2017-07-21,"google / organic",2
2017-07-22,"google / organic",1
2017-07-23,"bing / organic",1
2017-07-23,"google / organic",1
2017-07-23,"zapmeta.pe / referral",1
2017-07-24,"(direct) / (none)",1
2017-07-24,"google / organic",1
2017-07-25,"(direct) / (none)",2
2017-07-25,"google / organic",3
2017-07-26,"google / organic",2
2017-07-27,"(direct) / (none)",1
2017-07-27,"google / organic",3
2017-07-28,"(direct) / (none)",1
2017-07-28,"ecosia.org / referral",1
2017-07-28,"google / organic",2
2017-07-29,"google / organic",1
2017-07-29,"zapmeta.pe / referral",1
2017-07-30,"google / organic",2
2017-07-31,"google / organic",2
